1512103862	1621649	823213	631304
1512103872	1629649	827817	635241
1512103882	1637114	832054	638238
1512103892	1646538	836730	640444
1512103902	1655847	841202	643117
1512103912	1665024	845921	646137
1512103922	1673504	851889	649704
1512103932	1682355	856366	653191
1512103942	1690750	860898	656520
1512103952	1699255	865714	658721
1512103962	1707613	868729	662081
1512103973	1713815	872551	666090
1512103983	1722969	876409	670091
1512103993	1732311	881852	673728
1512104003	1740453	886646	676907
1512104013	1747204	891354	680003
1512104023	1756857	895390	683607
1512104033	1764514	899638	686414
1512104043	1771497	904463	689887
1512104053	1781742	908420	693012
1512104063	1788290	912890	695321
1512104073	1795149	915954	698054
1512104083	1804245	918414	701038
1512104093	1810201	922820	704961
1512104103	1818913	927053	708424
1512104113	1825265	930914	712066
1512104123	1833119	934637	716380
1512104133	1841859	939374	719648
1512104143	1848874	943519	723920
1512104153	1854649	948695	726673
1512104163	1863405	954166	729894
1512104173	1871240	959398	732517
1512104183	1879765	963997	735930
1512104193	1890004	968553	739730
1512104203	1898237	972435	743008
1512104213	1905082	977836	746354
1512104223	1913687	982216	749147
1512104233	1922714	986512	752822
1512104243	1932185	990545	755076
1512104253	1939362	994600	758192
1512104263	1947596	999505	761561
1512104273	1954256	1003640	764760
1512104283	1963096	1007237	768726
1512104293	1971136	1011579	770730
1512104303	1980711	1015661	774276
1512104313	1987292	1021275	777151
1512104323	1994389	1026142	780307
1512104333	2003290	1029991	783933
1512104343	2013196	1034502	786811
1512104353	2022165	1039291	790061
1512104363	2030368	1042430	792821
1512104374	2038687	1047218	796607
1512104384	2045912	1051867	799488
1512104394	2053997	1055566	804028
1512104404	2062167	1061077	807169
1512104414	2071200	1066205	810324
1512104424	2079492	1070334	813480
1512104434	2087267	1075072	817209
1512104444	2096637	1078370	820204
1512104454	2104042	1081845	824707
1512104464	2112575	1086132	827533
1512104474	2119965	1090393	830714
1512104484	2126817	1095002	833693
1512104494	2136277	1100815	835854
1512104504	2144540	1105604	839668
1512104514	2152189	1110142	842799
1512104524	2158037	1114032	846490
1512104534	2167555	1118023	849437
1512104544	2176387	1121326	852904
1512104554	2185401	1126845	856540
1512104564	2193155	1130552	860457
1512104574	2202199	1134491	864237
1512104584	2211133	1139398	866855
